Bean_ID,Title,Pattern,Key_Acceptance_Criteria,Suggested_Verify_Command,Effort_Days
58,Add LICENSE files,File_Checks,"LICENSE-MIT exists, LICENSE-APACHE exists, GitHub recognizes license","test -f LICENSE-MIT && test -f LICENSE-APACHE && grep -q 'MIT License' LICENSE-MIT",0.5
141,Custom Allocator (mimalloc),Performance,"mimalloc added as global allocator, panic=abort set, startup improved, binary size same/smaller","cargo build --release && hyperfine './target/release/rush -c echo' 'bash -c echo'",1
143,Remove Unused Tokio Dependency,Cargo_Checks,"tokio removed from Cargo.toml, cargo build succeeds, tests pass, binary smaller, startup faster","cargo build --release && cargo test && ls -lh target/release/rush",1
2,AI Agent Batteries Included,Epic_Reference,"All git commands return --json, JSON parsing native, HTTP fetch builtin, structured errors, 10x faster than bash+jq","cargo test && ./target/release/rush -c 'git_log --json' | jq .",15
4,Rush HN Readiness Cleanup,File_Checks + Docs,"LICENSE files, .gitignore hardened, README with badges, CONTRIBUTING.md, CHANGELOG.md, Cargo.toml metadata","test -f LICENSE-MIT && test -f CONTRIBUTING.md && grep -q 'MIT' README.md",5
5,Daemon Performance Optimization,Performance,"Daemon execution < 5.5ms, tests passing, stdout/stderr capture working, no regression","hyperfine 'rush -c pwd' && cargo test",3
6,POSIX Compliance - Full Unix Shell,Epic_Reference,"All required POSIX builtins, positional parameters ($1-$9), here-documents, control flow (while/case), POSIX test 90%+","cargo test posix_ && ./tests/posix_compliance.sh",20
12,Benchmark Reproducibility Suite,Performance,"rush --benchmark works, rush --benchmark quick works, rush --benchmark compare works, benchmark_results.json generated, markdown export","cargo build --release && ./target/release/rush --benchmark compare",5
13,Performance Profiling Built-in,Performance,"rush --profile -c 'command' shows timing, profile builtin works, differentiates builtin vs external, zero overhead when disabled","cargo build --release && ./target/release/rush --profile -c 'ls | grep' | grep -q 'ms'",3
18,Shell Foundation - Make Rush Work,Functional_Tests,"Smoke test passes 120/120, variable assignment works (FOO=bar), globs work (*.rs), control flow works (if/while/for), arithmetic works ($((1+2)))","./tests/smoke_test.sh | grep -c '✓'",7
19,Rush Scripting Support - Builtins,Functional_Tests + Docs,"Tier 1 builtins (read/true/false/return/local/shift), Tier 2 (trap/printf/eval/exec/unset), Tier 3 (command/builtin/kill/wait/pushd), ~/.rushrc executable","cargo test scripting_ && ./tests/scripting_tests.sh",8
21,US-003: Robust Pipeline Implementation,Functional_Tests + Cargo,"Multi-stage pipes work, error propagation correct, exit code = last command, SIGPIPE handling, large data handling","echo 'cat /etc/passwd | grep root | sort | uniq' | ./target/release/rush && cargo test",2
22.1,Basic redirections: >, >>, 2>, <,Functional_Tests + Cargo,"stdout redirect (>), append (>>), stderr (2>), stdin (<), works with pipes, file perms correct","echo 'echo test > /tmp/test.txt' | ./target/release/rush && test -f /tmp/test.txt && cargo test",2
23,US-001: Script Execution,Functional_Tests + Cargo,"Execute .rush files, shebang support (#!/usr/bin/env rush), $1/$2 accessible, exit codes propagate, error messages show line number","echo '#!/usr/bin/env rush\necho $1' > /tmp/test.rush && chmod +x /tmp/test.rush && /tmp/test.rush arg1 && cargo test",2
32,AI-001: Structured git log,JSON_Output + Cargo,"git_log builtin exists, human-readable default, --json returns array, includes hash/author/date/message/files_changed, <5ms perf, error handling","cargo build --release && time ./target/release/rush -c 'git_log --json -n 10' | jq '.[] | {hash, author}'",3
34,AI-002: Structured git diff,JSON_Output + Cargo,"git_diff builtin exists, --json returns structured JSON, includes files/hunks/changes, --staged flag, <10ms perf, binary files handled","cargo build --release && ./target/release/rush -c 'git_diff --json' | jq '.files[].path' && cargo test",4
35,AI-003: Extend git_status,JSON_Output + Cargo,"git_status --json works, staged/unstaged/untracked categories, ahead/behind counts, branch info, <5ms on 1000 files, submodules handled","cargo build --release && ./target/release/rush -c 'git_status --json' | jq '.branch, .staged, .unstaged'",2
43,STABILITY-001: Non-TTY Mode,Stability + Functional,"TTY detection works, interactive mode uses reedline, non-TTY uses stdin reader, pipes work (echo | rush), redirects work (< script), subshells work ($())","echo 'echo test' | ./target/release/rush && echo 'pwd' | ./target/release/rush && cargo test",1
49,STABILITY-002: Signal Handling,Stability,"SIGINT/SIGTERM/SIGHUP handlers, child processes cleanup, correct exit code (130 for SIGINT), no orphaned processes, state cleanup","timeout 1 ./target/release/rush -c 'sleep 10' || test $? -eq 130 && ps aux | grep -v grep | grep -q rush || true && cargo test",1
50,STABILITY-003: File Redirection,Functional_Tests + Cargo,"stdout > works, append >> works, stdin < works, stderr 2> works, combined 2>&1 works, &> both works, works with pipes, perms correct","echo 'echo test > /tmp/t.txt && cat /tmp/t.txt' | ./target/release/rush && cargo test",2
