"Bean_ID","Title","Priority","Pattern_Number","Suggested_Verify_Command"
"1","Rush 1.0 Critical Features","P2","Pattern_7","cargo test"
"2","AI Agent Batteries Included","P1","Pattern_7","cargo test"
"3","Rush Shell Stability - Login Shell Ready","P2","Pattern_7","cargo test"
"4","Rush HN Readiness Cleanup","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"5","Daemon Performance Optimization - Achieve <1ms Startup","P1","Pattern_4","hyperfine './target/release/rush -c echo' 'bash -c echo'"
"6","POSIX Compliance - Full Unix Shell Support","P1","Pattern_7","cargo test"
"7","User Guide - Common Tasks","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"8","Configuration Guide","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"9","Builtin Command Reference","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"10","Troubleshooting Guide","P3","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"11","Migration Guide from Bash/Zsh","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"12","Benchmark Reproducibility Suite","P1","Pattern_4","cargo build --release && ./target/release/rush --benchmark"
"13","Performance Profiling Built-in","P1","Pattern_4","cargo build --release && cargo bench"
"14","Rust-Quality Error Messages","P2","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"15","Time Builtin with Breakdown","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"15.1","Pipeline stage timing breakdown in time builtin","P2","Pattern_2","echo ""cat | grep | sort"" | ./target/release/rush && cargo test"
"15.2","Time builtin comparison mode vs bash/zsh","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"16","Script Compatibility Checker","P2","Pattern_2","./target/release/rush && cargo test"
"17","Advanced Shell Completion System","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"18","Shell Foundation - Make Rush Actually Work","P1","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"19","Rush Scripting Support - Essential Builtins","P1","Pattern_2","./target/release/rush && cargo test"
"20","Text Processing Builtins (sed/awk)","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"21","US-003: Robust Pipeline Implementation","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"22","US-002: File Redirections","P2","Pattern_3","test -f docs/index.md && test -f README.md"
"22.1","Basic redirections: >, >>, 2>, <","P1","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"22.2","Advanced redirections: &>, combined, with pipes","P2","Pattern_2","echo ""echo test > /tmp/out"" | ./target/release/rush && cargo test"
"23","US-001: Script Execution","P1","Pattern_2","./target/release/rush && cargo test"
"24","US-004: Configuration File Support","P2","Pattern_3","test -f docs/index.md && test -f README.md"
"24.1","Config file loading: ~/.rushrc parsing and execution","P2","Pattern_2","./target/release/rush && cargo test"
"24.2","Config file features: aliases, functions, options","P2","Pattern_2","echo ""func() { echo test; }; func"" | ./target/release/rush && cargo test"
"25","US-005: Confirmation Prompts for Destructive Operations","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"26","US-006: Better Error Messages with Suggestions","P3","Pattern_6","cargo test stability_ && ./tests/integration_tests.sh"
"27","US-008: Command Suggestions (Did You Mean?)","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"28","US-007: CI/CD and Distribution","P4","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"28.1","GitHub Actions workflow setup for releases","P2","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"28.2","Pre-built binaries: macOS (Intel + ARM)","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"28.3","Pre-built binaries: Linux (x86_64)","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"28.4","Homebrew formula and installation testing","P2","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"29","Add custom themes and prompt configuration","P3","Pattern_1","cargo build --release && cargo test && cargo clippy -- -D warnings"
"30","Improve pipeline support for complex multi-stage pipelines","P2","Pattern_2","echo ""cat | grep | sort"" | ./target/release/rush && cargo test"
"31","Implement plugin system for extensibility","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"32","AI-001: Structured git log with JSON output","P1","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"33","AI-010: Documentation and examples for AI agent integration","P3","Pattern_2","cargo build --release && ./tests/functional_tests.sh && cargo test"
"34","AI-002: Structured git diff with JSON output","P1","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"35","AI-003: Extend git_status with --json and full file listing","P1","Pattern_5","cargo build --release && ./target/release/rush -c 'git_status --json' | jq '.'"
"36","AI-004: JSON query and manipulation builtins","P2","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
"37","AI-005: Add --json flag to ls builtin","P2","Pattern_5","cargo build --release && ./target/release/rush -c 'json_query' | jq '.'"
